	control_person1	control_person2	control_person3	control_person4	control_person5	control_person6	control_person7	control_person8	control_person9	control_person10	control_cat1	control_cat2	control_cat3	control_cat4	control_cat5	control_cat6	control_cat7	control_cat8	control_cat9	control_cat10	control_bird1	control_bird2	control_bird3	control_bird4	control_bird5	control_bird6	control_bird7	control_bird8	control_bird9	control_bird10	control_banana1	control_banana2	control_banana3	control_banana4	control_banana5	control_banana6	control_banana7	control_banana8	control_banana9	control_banana10	control_firehydrant1	control_firehydrant2	control_firehydrant3	control_firehydrant4	control_firehydrant5	control_firehydrant6	control_firehydrant7	control_firehydrant8	control_firehydrant9	control_firehydrant10	control_tree1	control_tree2	control_tree3	control_tree4	control_tree5	control_tree6	control_tree7	control_tree8	control_tree9	control_tree10	control_bus1	control_bus2	control_bus3	control_bus4	control_bus5	control_bus6	control_bus7	control_bus8	control_bus9	control_bus10	control_building1	control_building2	control_building3	control_building4	control_building5	control_building6	control_building7	control_building8	control_building9	control_building10
control_person1	0.0	0.3265544717354493	0.3609127374071313	0.32311631287519205	0.24432644745022392	0.30933634829759565	0.37439448074402165	0.25833282041276956	0.3548775469621704	0.3816225925413356	0.9307732458393919	0.8996002519706283	0.9197298205036599	0.937354702309121	0.9418507176132022	0.94838793654639	0.9203901112388042	0.9426377818974281	0.9579212840490833	0.9356614624460633	0.8326736862830948	0.9099972987697569	0.8879583630693645	0.8767035883308479	0.8650452151855901	0.8867385924286634	0.8800146675232484	0.902522753483677	0.8799201475446007	0.8670436854019226	0.8850340455395049	0.9404311520764861	0.924463257461711	0.9087339914999973	0.8906442734102226	0.9236769901576238	0.9153776973165036	0.9147264397083358	0.8865470722329154	0.9407799056727545	0.9018807577167064	0.9113164739160585	0.9162100537153808	0.9140291852535886	0.9252259049649276	0.9211698376365413	0.9271604401855759	0.9439354160636312	0.930089018109257	0.9212343122848015	0.9677730765930502	0.9717100691611946	0.9819711344598523	0.967951406394138	0.9541031783282855	0.966784195102388	1.021628286204255	0.9612104472082855	0.977734461700091	0.9546070758034216	1.0041171651911276	0.9710072923873215	0.9497843309416963	0.9910071489626298	0.9634167586552802	0.9643203923651502	0.9501699733318918	0.9841318786312017	0.9862885907436838	0.9569891580508867	1.0057446967344637	1.0213088765713223	1.0101469982757523	1.0015077296032895	0.9829488137681953	1.0248255002938906	1.017668379347998	0.9975376796986418	1.024021324169376	0.9903412244234701
control_person2	0.3265544717354493	0.0	0.4028615719954385	0.3440812894186708	0.29755537070563476	0.2180787962709105	0.35438641608782834	0.32754126311149057	0.3242237580837281	0.417456227608634	0.9166920629553832	0.8783082668730168	0.901520336750956	0.9166251048388723	0.9296117237424174	0.9174142941264701	0.9035356198186086	0.9351306016954619	0.9308971246544235	0.9274161785918956	0.8790608119906377	0.918086684472141	0.8969646905981886	0.8833790387604418	0.881047850643817	0.8770784918600598	0.9005036556675093	0.9146538133672572	0.8787996611802192	0.8806603296121537	0.9390715849297101	0.9655832470770002	0.9403237019541748	0.9432345334309002	0.9340263048266407	0.9414632659948938	0.9437945438365773	0.9400010604894052	0.9174457819347878	0.9474130303563133	0.9355202767092984	0.9642769307355793	0.9523377156828439	0.9592864331444484	0.9757301960305477	0.9454750334397516	0.9513805775907223	0.9846226954402497	0.9532404097601312	0.9557779704217997	1.0132339380468212	1.01312582240293	1.0247419581813688	0.9999844227041297	0.9902878122416658	1.008286643420983	1.0498037771970783	1.0045729129230176	1.0096140051355198	0.9959551949723191	0.998193828446357	0.9957516886001966	0.984909714259572	0.976919434957744	0.977486607930297	0.9841557487975194	0.9936787636844276	0.9995070980049657	0.9953867216683481	0.9915785104242698	1.0141445405075413	1.034727302286391	1.0176417333161267	1.0161988143190717	0.998976798887459	1.0314733072817939	1.0167438659686086	0.986666983323786	1.0384103614003675	0.9896230222398803
control_person3	0.3609127374071313	0.4028615719954385	0.0	0.30714542766272507	0.35225095728908157	0.41997713183677693	0.3426558086116671	0.3842177916568614	0.3032159711166695	0.26802418782404963	0.9212119950972646	0.9217078872803569	0.9202305778674151	0.9361551127001723	0.9294795856056175	0.9483772391638472	0.9324006174549645	0.95150336799969	0.9549216582529745	0.9329222373098346	0.8399333486840941	0.9167777887238227	0.8896580957609269	0.8604743756103219	0.8813979680815017	0.8742067688902921	0.883138475867656	0.9038190599255692	0.8746701556492884	0.8789316316084651	0.907342374914295	0.9639097446633513	0.9564958407368708	0.9205240421829806	0.9081311673482386	0.9453390166070922	0.9527667439621339	0.9349322567612977	0.8982136052206677	0.9592288575039956	0.9109354712942997	0.9295075341510308	0.9040896369239831	0.9091451595778373	0.9044163964723172	0.9107100464637576	0.9216281493726622	0.9032370260080816	0.9208700513236269	0.9183540212287695	0.9663331112992097	0.9678525426548773	0.9744479692120983	0.9765925975671274	0.9676569720966985	0.9738466412337289	1.0141574483699936	0.9532775063137333	0.9722619492939082	0.9465129465694285	0.9309338952560059	0.9066539300327009	0.8980496926783528	0.9322187676019237	0.9148802900373031	0.9094187386260054	0.9022978043314365	0.9307052426544975	0.9294906867759777	0.9081481951798414	0.9805774392457652	1.01631686824045	1.0111632350161601	0.9955979113926358	0.9999281105373788	1.002034492649489	1.0119547612943498	0.929896418456951	0.999727244281862	0.9654723349068959
control_person4	0.32311631287519205	0.3440812894186708	0.30714542766272507	0.0	0.3262552715472318	0.34614866050366505	0.3155069722850923	0.3173464735788898	0.28468978211490964	0.3328686852645956	0.9056888555475875	0.8832987328468959	0.8839596010741843	0.9085444720267603	0.912374899095997	0.9266416165669251	0.8976313796248919	0.9085418761787167	0.9289744325446058	0.9093236659476254	0.7941317766445445	0.8541355075678768	0.8569087666919263	0.82092578594265	0.8365318467429845	0.8328135186356742	0.8597760775227964	0.883759687770749	0.8259326521618665	0.8407952316852981	0.9088933039962932	0.9353175308307228	0.9445091337756556	0.9201740422799252	0.9089415593858455	0.9414268860107775	0.9467324574370146	0.9153342152958918	0.9164887980121535	0.9411579328382195	0.9306051017053381	0.9288909474843653	0.9389982135450033	0.9084317050634053	0.9208302089420997	0.9331374274586484	0.9156116337805069	0.9288497998301506	0.920180295882069	0.9280478152574632	0.9701079723844395	0.9646356448774653	0.9922994498842299	0.9714673828379369	0.9768280472358574	0.9648563475128228	1.0175272301850649	0.9489557277432517	0.9624356102101781	0.9562867208400848	0.9386653148312175	0.9137429958613161	0.9214634490366098	0.9452274560652957	0.9174446700140281	0.9173151320638809	0.90728334874841	0.9269059038461936	0.9494667925932682	0.8888369757838862	1.0173416685423133	1.0265909092552032	0.9882528369042064	0.9797231258045382	0.973779190119522	1.0211658738590432	1.010095130677243	0.9782431805546191	1.022924173567681	0.9833180636830114
control_person5	0.24432644745022392	0.29755537070563476	0.35225095728908157	0.3262552715472318	0.0	0.2828113954953506	0.3612764684461506	0.27777299156405116	0.3356878805538445	0.38272614322762044	0.9423094305478794	0.9095043119391519	0.9393262015302738	0.9504718898096446	0.9531637074912577	0.959904054087394	0.9367460670441637	0.955360940201069	0.9706007238050636	0.9449455406050739	0.8349523291081596	0.9057889279585672	0.8933072885902313	0.8762218232104829	0.8570265517695262	0.869672429401449	0.874588157278779	0.8933608997976822	0.8643986472572981	0.8787090386217474	0.9353507453247722	0.9565731836023766	0.9532479359894936	0.9381212188072936	0.9219400047726445	0.9412883752149515	0.9591132294581359	0.9374543547701307	0.9321585965927561	0.9497786237473851	0.9421862744796434	0.9504063954136501	0.9591972232700052	0.9576966197245297	0.9683220012527101	0.9628955260511458	0.9674817338401834	0.9719826475372003	0.963125076975833	0.9607735880219693	0.9757799287226202	0.9646491523953089	0.9862786369120908	0.9792159170598068	0.970261707309133	0.9706623644440985	1.0151647478263266	0.9555520092771187	0.9805067672093579	0.9559543887124268	0.9893328000886815	0.9907416379901117	0.97375590269707	1.002633003868174	0.9787831826715496	0.9532811718697293	0.9819894645907602	0.9903334940304972	0.9891411078797815	0.967729458058944	1.0326748645696517	1.0611124579557092	1.0208076881981336	1.0242788787059374	1.0104283346278555	1.0366732362436617	1.0306144499982801	0.9904250007816653	1.0418478043449475	1.0253724482066124
control_person6	0.30933634829759565	0.2180787962709105	0.41997713183677693	0.34614866050366505	0.2828113954953506	0.0	0.34030783311999857	0.31151622762424874	0.35078428644919873	0.42095209358127583	0.9167435806792327	0.8974789178868648	0.9151097057523504	0.9344523144986753	0.9351830546049772	0.9284765127189544	0.9059521058389103	0.9414952041391679	0.9486241649359942	0.9440658881557098	0.8436602564491801	0.8924600862869645	0.8822974398772317	0.859431089305587	0.8606497844133798	0.8732111664063491	0.8906816409268128	0.9173800000930581	0.8489541391784022	0.8757714930260765	0.8928541983382658	0.926485136396597	0.9174702167814721	0.9098619401936034	0.895128428162982	0.9121346535066905	0.9198045107069315	0.8935105508007326	0.891251273850587	0.9219378347200661	0.9575596057182199	0.9585999630798561	0.9518654008417681	0.9577626629761542	0.9705143844837839	0.9472489375983186	0.9629199509497646	0.9731442081394882	0.9461469368336907	0.9575575616658707	0.9782662764212624	0.9992957033078897	0.9756544784487482	0.9938464103551496	0.9765824274860616	0.9825418606058154	1.0316284487443719	0.9642789902378905	0.9955119797743675	0.9611783565624528	0.998529852386303	0.9863672184907539	0.9710299822340152	0.9958986839682424	0.962162072418142	0.9693041190695972	0.9723548229112869	0.9883230882000944	0.9684242292056701	0.9574878382479493	1.0183400146954498	1.0515844870282254	1.0183821845612935	0.9962928114095639	1.0010716534885329	1.0384198456199103	1.0281640240203065	0.9960143515660117	1.0266644646985217	1.0076945029458761
control_person7	0.37439448074402165	0.35438641608782834	0.3426558086116671	0.3155069722850923	0.3612764684461506	0.34030783311999857	0.0	0.32276632346767276	0.3829405610082462	0.37224640346992116	0.9341715072622314	0.915955641019902	0.926838168877638	0.9514249023543209	0.9491236336884467	0.9406079971389253	0.9408947360448238	0.941137277627313	0.9615238522115106	0.9664239137296239	0.8458719087961485	0.9096951914162098	0.8946420986400262	0.8839791926713176	0.8823721807629408	0.8789992805076214	0.9113204758667917	0.9230549241290622	0.8875652484220559	0.8933734054579852	0.9296161565189895	0.9636498469734139	0.9353425536706177	0.9377184971819155	0.9272800468757251	0.9553739281323341	0.9714903070204755	0.9334128223088682	0.9087621956167166	0.9565969108315887	0.9357439099129835	0.9342307145258796	0.9565317990623757	0.9224457561497055	0.943450512442321	0.9517367100076709	0.9450771775955623	0.9408666785637968	0.9498448061231731	0.9423263766033592	1.0121474714618761	1.0195042414950592	1.0062383448961851	1.029547350460807	0.9993350620288765	1.017783983190507	1.0600623738831727	0.9852747349995146	1.0059730796042423	0.9874342142450367	0.9632104018509182	0.9379457099085019	0.9341345230820649	0.9567385629016958	0.9266736643246761	0.9263148617683012	0.9270405554100218	0.9618178724971718	0.9567928197785277	0.9331297789114669	0.9990496197354186	1.0343258668754836	1.0045757548906904	0.9992790892011395	0.9938803790277494	1.026338349242116	1.033859227486364	0.97098953228884	1.0106258775179766	0.9872467110296843
control_person8	0.25833282041276956	0.32754126311149057	0.3842177916568614	0.3173464735788898	0.27777299156405116	0.31151622762424874	0.32276632346767276	0.0	0.3449448676594802	0.3795174683049709	0.9476306134538602	0.9460489412036029	0.9304686422448615	0.9367716190441459	0.9597395869787791	0.9597675823678782	0.9269664675101399	0.949820368514536	0.9828578449640942	0.9587524371965818	0.8435736670594495	0.9075880358218265	0.9030176823106234	0.890640539740647	0.8626695943898585	0.8614656346183771	0.8887264995617301	0.9120898966047779	0.8682301515069152	0.8863672872236584	0.9371682546888406	0.9547520891449751	0.9443642730117638	0.9537475593645698	0.9321127843724539	0.9454725495037564	0.9526301524462967	0.9329392323522415	0.9138166396825868	0.9686539572805931	0.9203444324469507	0.9331740298637125	0.9422094518625211	0.9249796972527214	0.9164824352143303	0.9267145125347803	0.9304542198596878	0.9496623875449611	0.927166890107121	0.94418302690881	0.98735161063872	0.9951138097659242	0.9915634278191	0.9942072777537447	0.9927587117664494	0.9901718763444314	1.027785389402971	0.9742533550068683	0.9921125840967379	0.9731978494877717	0.9777329586853636	0.9749002528796296	0.9658827169870865	0.9585485992881537	0.9615439203837647	0.9572486469623402	0.984298529628856	0.9986755532111367	0.9824824590369837	0.9557828173020233	1.0079011061419791	1.040526309584302	1.0072081483090227	1.0006464006517333	0.9886134578035946	1.029819757397203	1.0285416912629535	0.9881652149588768	1.0323473439599367	0.9923833482247559
control_person9	0.3548775469621704	0.3242237580837281	0.3032159711166695	0.28468978211490964	0.3356878805538445	0.35078428644919873	0.3829405610082462	0.3449448676594802	0.0	0.314102688596469	0.8966333811530576	0.8891158716079247	0.8800856107387581	0.8978992065691493	0.9212266839523783	0.9265421103457455	0.8969610522606728	0.9301226487518477	0.929983905182839	0.9077359590763542	0.845728664288801	0.892092088790541	0.8753955543712617	0.856152344850955	0.8770517143381984	0.8711669973137365	0.8740076204442176	0.9058475425148896	0.861276267384508	0.8901596351883069	0.9286094082864493	0.9537685039684362	0.9630004660133769	0.9420999401020911	0.9191632658500747	0.9398289734934958	0.956956761152183	0.9300593371866879	0.9041194057616917	0.9552194290467706	0.9394259574142239	0.9572111584549464	0.9658198158867939	0.954124099945089	0.9509886395955326	0.9538980707658165	0.9583410023944143	0.9648276032972828	0.9561387717960649	0.9569037855513	0.9885137553503135	0.9982706013334305	0.9986012348532186	0.9686497791087377	0.9818519961155886	0.9751964306991863	1.0112909084748143	0.9760783032735187	0.9850773669909164	0.9485032728264572	0.9627278338252417	0.9587004327697929	0.9513823755255533	0.9568853954665619	0.9500214852189705	0.9498833217470616	0.9366316856882467	0.9668343429002767	0.9736581237417159	0.9352668713164731	0.9986277581739682	1.0251608836420198	1.006213472977027	1.0040378350125838	0.9875461247891951	1.0162407465801897	1.0291952268108222	0.9708495477548623	1.0263942407477946	0.9822730354125937
control_person10	0.3816225925413356	0.417456227608634	0.26802418782404963	0.3328686852645956	0.38272614322762044	0.42095209358127583	0.37224640346992116	0.3795174683049709	0.314102688596469	0.0	0.9377372561508353	0.9221730152480011	0.9469562723257937	0.9405281359246765	0.9596129350064747	0.9558004543799495	0.9511798941842549	0.9782490320125277	0.972869815596238	0.954334832645062	0.8381091987189744	0.9237380602984899	0.882490311604709	0.8852098740326018	0.8838918503509501	0.8986867266888229	0.902183008410887	0.9127466503206368	0.8947843906839276	0.8732999838872627	0.9590282956987465	0.979919754891474	0.9888794009127885	0.9775046959507546	0.9464145231575162	0.9729144995065014	0.9700721379178852	0.9691559003930371	0.9409351237854211	0.9975106594811218	0.9026700550427168	0.9126579445973992	0.9366480010231153	0.9006272747296258	0.9032025638312379	0.9288109341368836	0.9150796231501278	0.9258738631567502	0.9013432711805958	0.8995755323621488	0.9801718192207971	0.9984702900910937	1.0090996490923414	0.9773439040012973	0.9773220914991408	0.9837423035796593	1.0279571542095576	0.9705813195692726	0.9856783570449003	0.9621689059497517	0.9557418713095338	0.9374334361910205	0.9269822336683166	0.9543491927986111	0.9339469921037302	0.927707492962833	0.9375504336456744	0.959304581900776	0.951658293305984	0.9255517150069152	0.9681499102600799	1.007031579055709	1.005703188602875	0.9925090432531445	0.9754880364740324	0.9931929995919252	1.010918080520518	0.9357135736693035	0.9764313846889866	0.972364269409363
