label	name	region_indices	region_names	x	y	z
101	L_Primary_Visual	[1001]	['L_V1']	100.491589	41.138901	71.63704
102	L_Early_Visual	[1004, 1005, 1006]	['L_V2', 'L_V3', 'L_V4']	102.236656	44.064791	74.401125
103	L_Dorsal_Stream_Visual	[1003, 1013, 1016, 1017, 1019, 1152]	['L_V6', 'L_V3A', 'L_V7', 'L_IPS1', 'L_V3B', 'L_V6A']	104.543112	44.481665	103.916749
104	L_Ventral_Stream_Visual	[1007, 1018, 1022, 1153, 1154, 1160, 1163]	['L_V8', 'L_FFC', 'L_PIT', 'L_VMV1', 'L_VMV3', 'L_VMV2', 'L_VVC']	123.013193	51.8927	56.759015
105	L_MT+_Complex_and_Neighboring_Visual_Areas	[1002, 1020, 1021, 1023, 1138, 1156, 1157, 1158, 1159]	['L_MST', 'L_LO1', 'L_LO2', 'L_MT', 'L_PH', 'L_V4t', 'L_FST', 'L_V3CD', 'L_LO3']	132.416667	58.901786	82.059524
106	L_Somatosensory_and_Motor	[1008, 1009, 1051, 1052, 1053]	['L_4', 'L_3b', 'L_1', 'L_2', 'L_3a']	119.338359	105.485002	126.65561
107	L_Paracentral_Lobular_and_Mid_Cingulate	[1036, 1037, 1038, 1039, 1040, 1041, 1043, 1044, 1055]	['L_5m', 'L_5mv', 'L_23c', 'L_5L', 'L_24dd', 'L_24dv', 'L_SCEF', 'L_6ma', 'L_6mp']	96.894004	83.917559	134.828694
108	L_Premotor	[1010, 1011, 1012, 1054, 1056, 1078, 1096]	['L_FEF', 'L_PEF', 'L_55b', 'L_6d', 'L_6v', 'L_6r', 'L_6a']	132.579336	118.837638	121.922509
109	L_Posterior_Opercular	[1099, 1100, 1101, 1102, 1113]	['L_43', 'L_OP4', 'L_OP1', 'L_OP2-3', 'L_FOP1']	147.447146	125.598309	80.808668
110	L_Early_Auditory	[1024, 1103, 1104, 1105, 1124, 1173, 1174]	['L_A1', 'L_52', 'L_RI', 'L_PFcm', 'L_PBelt', 'L_MBelt', 'L_LBelt']	135.998896	101.994481	82.398455
111	L_Auditory_Association	[1107, 1123, 1125, 1128, 1129, 1130, 1175, 1176]	['L_TA2', 'L_STGa', 'L_A5', 'L_STSda', 'L_STSdp', 'L_STSvp', 'L_A4', 'L_STSva']	141.08604	129.967515	63.526778
112	L_Insular_and_Frontal_Opercular	[1106, 1108, 1109, 1110, 1111, 1112, 1114, 1115, 1167, 1168, 1169, 1178]	['L_PoI2', 'L_FOP4', 'L_MI', 'L_Pir', 'L_AVI', 'L_AAIC', 'L_FOP3', 'L_FOP2', 'L_PoI1', 'L_Ig', 'L_FOP5', 'L_PI']	131.140744	121.382156	71.041031
113	L_Medial_Temporal	[1118, 1119, 1120, 1122, 1126, 1127, 1135, 1155]	['L_EC', 'L_PreS', 'L_H', 'L_PeEc', 'L_PHA1', 'L_PHA3', 'L_TF', 'L_PHA2']	111.463631	115.664695	42.698403
114	L_Lateral_Temporal	[1131, 1132, 1133, 1134, 1136, 1137, 1172, 1177]	['L_TGd', 'L_TE1a', 'L_TE1p', 'L_TE2a', 'L_TE2p', 'L_PHT', 'L_TGv', 'L_TE1m']	127.26011	137.751977	35.261304
115	L_Temporo-Parieto-Occipital_Junction	[1025, 1028, 1139, 1140, 1141]	['L_PSL', 'L_STV', 'L_TPOJ1', 'L_TPOJ2', 'L_TPOJ3']	150.183112	78.426117	97.249877
116	L_Superior_Parietal	[1029, 1042, 1045, 1046, 1047, 1048, 1049, 1050, 1095, 1117]	['L_7Pm', 'L_7AL', 'L_7Am', 'L_7Pl', 'L_7PC', 'L_LIPv', 'L_VIP', 'L_MIP', 'L_LIPd', 'L_AIP']	95.248227	58.274232	121.498818
117	L_Inferior_Parietal	[1116, 1143, 1144, 1145, 1146, 1147, 1148, 1149, 1150, 1151]	['L_PFt', 'L_PGp', 'L_IP2', 'L_IP1', 'L_IP0', 'L_PFop', 'L_PF', 'L_PFm', 'L_PGi', 'L_PGs']	146.277662	100.807933	106.926931
118	L_Posterior_Cingulate	[1014, 1015, 1027, 1030, 1031, 1032, 1033, 1034, 1035, 1121, 1142, 1161, 1162]	['L_RSC', 'L_POS2', 'L_PCV', 'L_7m', 'L_POS1', 'L_23d', 'L_v23ab', 'L_d23ab', 'L_31pv', 'L_ProS', 'L_DVT', 'L_31pd', 'L_31a']	96.918149	86.60261	88.986951
119	L_Anterior_Cingulate_and_Medial_Prefrontal	[1057, 1058, 1059, 1060, 1061, 1062, 1063, 1064, 1065, 1069, 1088, 1164, 1165, 1166, 1179, 1180]	['L_p24pr', 'L_33pr', 'L_a24pr', 'L_p32pr', 'L_a24', 'L_d32', 'L_8BM', 'L_p32', 'L_10r', 'L_9m', 'L_10v', 'L_25', 'L_s32', 'L_pOFC', 'L_a32pr', 'L_p24']	94.447546	124.308951	110.85948
120	L_Orbital_and_Polar_Frontal	[1066, 1072, 1089, 1090, 1091, 1092, 1093, 1094, 1170]	['L_47m', 'L_10d', 'L_a10p', 'L_10pp', 'L_11l', 'L_13l', 'L_OFC', 'L_47s', 'L_p10p']	127.422402	156.510121	55.184885
121	L_Inferior_Frontal	[1074, 1075, 1076, 1077, 1079, 1080, 1081, 1082, 1171]	['L_44', 'L_45', 'L_47l', 'L_a47r', 'L_IFJa', 'L_IFJp', 'L_IFSp', 'L_IFSa', 'L_p47r']	144.510015	141.238315	88.001027
122	L_Dorsolateral_Prefrontal	[1026, 1067, 1068, 1070, 1071, 1073, 1083, 1084, 1085, 1086, 1087, 1097, 1098]	['L_SFL', 'L_8Av', 'L_8Ad', 'L_8BL', 'L_9p', 'L_8C', 'L_p9-46v', 'L_46', 'L_a9-46v', 'L_9-46d', 'L_9a', 'L_i6-8', 'L_s6-8']	98.31097	142.730684	135.373291
201	R_Primary_Visual	[2001]	['R_V1']	78.060375	44.539286	74.333474
202	R_Early_Visual	[2004, 2005, 2006]	['R_V2', 'R_V3', 'R_V4']	77.026083	47.558042	76.305265
203	R_Dorsal_Stream_Visual	[2003, 2013, 2016, 2017, 2019, 2152]	['R_V6', 'R_V3A', 'R_V7', 'R_IPS1', 'R_V3B', 'R_V6A']	72.226868	49.256228	102.929715
204	R_Ventral_Stream_Visual	[2007, 2018, 2022, 2153, 2154, 2160, 2163]	['R_V8', 'R_FFC', 'R_PIT', 'R_VMV1', 'R_VMV3', 'R_VMV2', 'R_VVC']	60.698264	51.949266	59.301736
205	R_MT+_Complex_and_Neighboring_Visual_Areas	[2002, 2020, 2021, 2023, 2138, 2156, 2157, 2158, 2159]	['R_MST', 'R_LO1', 'R_LO2', 'R_MT', 'R_PH', 'R_V4t', 'R_FST', 'R_V3CD', 'R_LO3']	43.620295	63.751227	78.013093
206	R_Somatosensory_and_Motor	[2008, 2009, 2051, 2052, 2053]	['R_4', 'R_3b', 'R_1', 'R_2', 'R_3a']	60.980681	108.738321	126.822972
207	R_Paracentral_Lobular_and_Mid_Cingulate	[2036, 2037, 2038, 2039, 2040, 2041, 2043, 2044, 2055]	['R_5m', 'R_5mv', 'R_23c', 'R_5L', 'R_24dd', 'R_24dv', 'R_SCEF', 'R_6ma', 'R_6mp']	85.168053	86.77371	136.587354
208	R_Premotor	[2010, 2011, 2012, 2054, 2056, 2078, 2096]	['R_FEF', 'R_PEF', 'R_55b', 'R_6d', 'R_6v', 'R_6r', 'R_6a']	46.370874	123.157282	123.201942
209	R_Posterior_Opercular	[2099, 2100, 2101, 2102, 2113]	['R_43', 'R_OP4', 'R_OP1', 'R_OP2-3', 'R_FOP1']	34.231572	127.220516	81.591523
210	R_Early_Auditory	[2024, 2103, 2104, 2105, 2124, 2173, 2174]	['R_A1', 'R_52', 'R_RI', 'R_PFcm', 'R_PBelt', 'R_MBelt', 'R_LBelt']	46.328479	105.454693	81.894822
211	R_Auditory_Association	[2107, 2123, 2125, 2128, 2129, 2130, 2175, 2176]	['R_TA2', 'R_STGa', 'R_A5', 'R_STSda', 'R_STSdp', 'R_STSvp', 'R_A4', 'R_STSva']	39.836312	130.301644	63.779843
212	R_Insular_and_Frontal_Opercular	[2106, 2108, 2109, 2110, 2111, 2112, 2114, 2115, 2167, 2168, 2169, 2178]	['R_PoI2', 'R_FOP4', 'R_MI', 'R_Pir', 'R_AVI', 'R_AAIC', 'R_FOP3', 'R_FOP2', 'R_PoI1', 'R_Ig', 'R_FOP5', 'R_PI']	50.080778	122.827214	71.63067
213	R_Medial_Temporal	[2118, 2119, 2120, 2122, 2126, 2127, 2135, 2155]	['R_EC', 'R_PreS', 'R_H', 'R_PeEc', 'R_PHA1', 'R_PHA3', 'R_TF', 'R_PHA2']	70.108232	115.451982	45.18064
214	R_Lateral_Temporal	[2131, 2132, 2133, 2134, 2136, 2137, 2172, 2177]	['R_TGd', 'R_TE1a', 'R_TE1p', 'R_TE2a', 'R_TE2p', 'R_PHT', 'R_TGv', 'R_TE1m']	55.264395	140.071941	34.559763
215	R_Temporo-Parieto-Occipital_Junction	[2025, 2028, 2139, 2140, 2141]	['R_PSL', 'R_STV', 'R_TPOJ1', 'R_TPOJ2', 'R_TPOJ3']	25.980366	89.316377	98.788934
216	R_Superior_Parietal	[2029, 2042, 2045, 2046, 2047, 2048, 2049, 2050, 2095, 2117]	['R_7Pm', 'R_7AL', 'R_7Am', 'R_7Pl', 'R_7PC', 'R_LIPv', 'R_VIP', 'R_MIP', 'R_LIPd', 'R_AIP']	84.893683	59.192604	121.912173
217	R_Inferior_Parietal	[2116, 2143, 2144, 2145, 2146, 2147, 2148, 2149, 2150, 2151]	['R_PFt', 'R_PGp', 'R_IP2', 'R_IP1', 'R_IP0', 'R_PFop', 'R_PF', 'R_PFm', 'R_PGi', 'R_PGs']	36.126206	103.276912	110.400148
218	R_Posterior_Cingulate	[2014, 2015, 2027, 2030, 2031, 2032, 2033, 2034, 2035, 2121, 2142, 2161, 2162]	['R_RSC', 'R_POS2', 'R_PCV', 'R_7m', 'R_POS1', 'R_23d', 'R_v23ab', 'R_d23ab', 'R_31pv', 'R_ProS', 'R_DVT', 'R_31pd', 'R_31a']	84.934198	92.434662	93.496756
219	R_Anterior_Cingulate_and_Medial_Prefrontal	[2057, 2058, 2059, 2060, 2061, 2062, 2063, 2064, 2065, 2069, 2088, 2164, 2165, 2166, 2179, 2180]	['R_p24pr', 'R_33pr', 'R_a24pr', 'R_p32pr', 'R_a24', 'R_d32', 'R_8BM', 'R_p32', 'R_10r', 'R_9m', 'R_10v', 'R_25', 'R_s32', 'R_pOFC', 'R_a32pr', 'R_p24']	85.71482	122.438623	112.543413
220	R_Orbital_and_Polar_Frontal	[2066, 2072, 2089, 2090, 2091, 2092, 2093, 2094, 2170]	['R_47m', 'R_10d', 'R_a10p', 'R_10pp', 'R_11l', 'R_13l', 'R_OFC', 'R_47s', 'R_p10p']	57.754386	157.371517	53.686275
221	R_Inferior_Frontal	[2074, 2075, 2076, 2077, 2079, 2080, 2081, 2082, 2171]	['R_44', 'R_45', 'R_47l', 'R_a47r', 'R_IFJa', 'R_IFJp', 'R_IFSp', 'R_IFSa', 'R_p47r']	37.055203	145.308467	85.935472
222	R_Dorsolateral_Prefrontal	[2026, 2067, 2068, 2070, 2071, 2073, 2083, 2084, 2085, 2086, 2087, 2097, 2098]	['R_SFL', 'R_8Av', 'R_8Ad', 'R_8BL', 'R_9p', 'R_8C', 'R_p9-46v', 'R_46', 'R_a9-46v', 'R_9-46d', 'R_9a', 'R_i6-8', 'R_s6-8']	82.702811	141.914659	137.409639
