Row	control_banana1	control_banana10	control_banana2	control_banana3	control_banana4	control_banana5	control_banana6	control_banana7	control_banana8	control_banana9	control_bird1	control_bird10	control_bird2	control_bird3	control_bird4	control_bird5	control_bird6	control_bird7	control_bird8	control_bird9	control_building1	control_building10	control_building2	control_building3	control_building4	control_building5	control_building6	control_building7	control_building8	control_building9	control_bus1	control_bus10	control_bus2	control_bus3	control_bus4	control_bus5	control_bus6	control_bus7	control_bus8	control_bus9	control_cat1	control_cat10	control_cat2	control_cat3	control_cat4	control_cat5	control_cat6	control_cat7	control_cat8	control_cat9	control_firehydrant1	control_firehydrant10	control_firehydrant2	control_firehydrant3	control_firehydrant4	control_firehydrant5	control_firehydrant6	control_firehydrant7	control_firehydrant8	control_firehydrant9	control_person1	control_person10	control_person2	control_person3	control_person4	control_person5	control_person6	control_person7	control_person8	control_person9	control_tree1	control_tree10	control_tree2	control_tree3	control_tree4	control_tree5	control_tree6	control_tree7	control_tree8	control_tree9
control_banana1	1.11022302462516e-16	0.470918880969602	0.291808162970811	0.297183131506895	0.313489263802114	0.0639857725606866	0.184209347840172	0.379131031465297	0.548718631705342	0.241447133452793	0.404618546433638	0.347679348609353	0.209457207473441	0.339298767177695	0.598716082526615	0.287103046418593	0.567773190660469	0.390581544164394	0.475634572462365	0.386485755147352	0.431728733046447	0.46558269883073	0.420941688752404	0.409450960105658	0.277743320525168	0.286429299216364	0.345005135364872	0.397944582736725	0.385237784585621	0.409993916528595	0.298913661544794	0.38334614325648	0.194761292629431	0.278466758763864	0.259958535886891	0.174818691214122	0.221845074847383	0.221030848002536	0.330417095254482	0.240102737622579	0.229447807253125	0.348366148610949	0.227279012317804	0.302248222023835	0.270248598876865	0.229166241717056	0.245429274425232	0.265482770082437	0.183113944201045	0.303481425099968	0.361746012932067	0.29064458869917	0.400001885742195	0.266681676231453	0.420694899339312	0.423829472310188	0.273262955725133	0.410818789938809	0.405120969172178	0.268362445024187	0.33876152932176	0.449807285699279	0.6393705818376	0.372563285704296	0.450642887982303	0.411761869170408	0.476627725857738	0.307167820171757	0.333761851933441	0.406583063367784	0.589142018801753	0.74063572723337	0.337042901995947	0.299018946866812	0.326853724827966	0.532351863977256	0.371969626015026	0.525147556090661	0.35555477794766	0.259566991405314
control_banana10	0.470918880969602	0	0.0641131814319598	0.204120237503573	0.264486986315271	0.315789695366799	0.417843675348626	0.0624558372714126	0.274066819195865	0.690096744016756	0.184316729551661	0.588746244257282	0.502284011632303	0.245746410520305	0.376147761898479	0.645189975998964	0.527040211650662	0.542854647951741	0.385153463752408	0.211814812959164	0.50232851827134	0.331200406555778	0.363790645143838	0.392575216472154	0.406261132228022	0.334303948120958	0.301965437407227	0.380038257777258	0.40560016847403	0.368293553098657	0.362386773866078	0.29422554507324	0.364994959188303	0.325681504352673	0.349718425031876	0.442069850068803	0.404684994999076	0.376714611341618	0.338971986147208	0.235865492347935	0.245348159346609	0.30918473254109	0.447360368017855	0.3780974459966	0.388999313248295	0.377197673897668	0.303011381839818	0.311774617807015	0.48245239445036	0.194459156481933	0.288570667370486	0.364080776943563	0.357356017767805	0.287677480829864	0.30783169448213	0.27541654096342	0.285036081575341	0.23630806326945	0.287795756195929	0.305722351909725	0.365835653205062	0.325004205157664	0.300956962929314	0.509817077404254	0.41419378000338	0.417832273383749	0.443389208700128	0.321884591432648	0.380553224914114	0.450114891541522	0.553647819887882	0.667517753839233	0.298873612060616	0.293305418926049	0.38259028868345	0.353207329866172	0.43140004666021	0.461344273698855	0.476397106419339	0.323451031780239
control_banana2	0.291808162970811	0.0641131814319598	6.66133814775094e-16	0.153520539803647	0.196517474796187	0.176932372973699	0.272806744022432	0.0885275646648042	0.368011600055702	0.56825021847007	0.178430148145628	0.474630204852599	0.369108383749691	0.230564673117112	0.35535363359452	0.516979327830951	0.557340380973489	0.439409502929487	0.403085361489921	0.221984935827524	0.427532789374494	0.336968638507211	0.302776727010527	0.325067873473201	0.284362702465812	0.225469586537288	0.245443690219801	0.327591757778534	0.351008279624267	0.321603620467244	0.269040617686934	0.244023664239716	0.197493539375672	0.221683978380924	0.228324594017117	0.274872315436149	0.302960411283605	0.261710040598548	0.255725731119521	0.138647763300497	0.177736215204761	0.304398480106653	0.335298542408497	0.332374484457035	0.30891168307971	0.273928081905847	0.232563710372919	0.234757387172486	0.388519293104946	0.159904167890784	0.270078878543793	0.271543206968014	0.329199350231079	0.219619857332864	0.280825723940134	0.237535869197007	0.223363166888866	0.222606729208293	0.242855164100967	0.231888787734659	0.310295571239495	0.304280749803744	0.288684793904182	0.480894156522094	0.383605778538991	0.446800231594934	0.424358729594967	0.270189191274628	0.310602758053045	0.432655559129762	0.548389974857812	0.69802968971304	0.242375092885567	0.204104143382061	0.342489682080363	0.344594241308083	0.381732060128958	0.455873584386202	0.439293102461932	0.229837244641389
control_banana3	0.297183131506895	0.204120237503573	0.153520539803647	0	0.33088163059366	0.203947817189325	0.171408039420165	0.158414100262797	0.371136309353643	0.540028904263161	0.261837572588484	0.513163997095951	0.3034322517822	0.133593433736804	0.470492386091227	0.523759715728405	0.353252472944095	0.478469914706846	0.230917597407584	0.231672415108741	0.466247916001118	0.390503132054155	0.338886900078699	0.315828498950152	0.383014574206478	0.217368256090447	0.2937745799641	0.384675490184272	0.362634891371332	0.34360903062871	0.268779237063938	0.235888213169421	0.185427788307401	0.269747628592144	0.205223171723516	0.27017556296827	0.200424159922977	0.261423198217562	0.279682394732814	0.173830701581856	0.220307229461301	0.230676366117709	0.376123791885443	0.340804137526766	0.328568635872636	0.32193117127057	0.266866535850146	0.27293405397683	0.295890785960281	0.176482266899886	0.230816878909573	0.290005226674325	0.312468539063254	0.21829927071473	0.288295636335322	0.295269651484077	0.224687836201506	0.293843353051228	0.286246960523871	0.218861178692961	0.303900761147462	0.33177664550312	0.435662795312082	0.403673489381153	0.435675725011301	0.274191909544867	0.359314906787484	0.21218813659677	0.305244550112707	0.288106723908775	0.438023144653427	0.590409660112282	0.253903045245327	0.289416063920393	0.295876223099516	0.377851907267874	0.31888122610523	0.376112915431422	0.335638035031144	0.218148779344932
control_banana4	0.313489263802114	0.264486986315271	0.196517474796187	0.33088163059366	0	0.256490661264469	0.416018125883222	0.201432217108073	0.430882304279266	0.391348644071633	0.22903969559942	0.343859408048067	0.440700813899499	0.271471605220022	0.432245238081308	0.385576767193489	0.600852135631324	0.369225268548924	0.44836322848471	0.302144348362138	0.292645559132319	0.302342546844206	0.27878654330693	0.29105389662863	0.247140287376152	0.32581502137838	0.163399529072696	0.234355642774882	0.242550034340369	0.284465649468441	0.316448806958128	0.341474946949505	0.261843645328025	0.205042610579623	0.357238683259265	0.313623988073706	0.357869288674626	0.2821065780797	0.285387203713267	0.229538918163715	0.137956055626513	0.298846739443866	0.276562689345612	0.295380322342909	0.191464056432895	0.233791552961838	0.211474352315844	0.229785643895142	0.397981899991018	0.258331757628135	0.307077616345315	0.298075547180925	0.380451215630397	0.176713066740139	0.294633028647938	0.343169229463181	0.279009024298923	0.340678786214001	0.302874440285228	0.297988811977752	0.374056433297037	0.320627648137721	0.418615294498095	0.397094431432118	0.446617705117374	0.511268039530784	0.46003623877008	0.25210366112238	0.34108753066843	0.481817261980189	0.695708561021863	0.874907535700095	0.273221530144987	0.112395927639015	0.357267798049901	0.411642639658601	0.408899853338088	0.579425805183972	0.428715768013931	0.268714911658205
control_banana5	0.0639857725606866	0.315789695366799	0.176932372973699	0.203947817189325	0.256490661264469	5.55111512312578e-16	0.115745368381623	0.261658938954741	0.434145927982524	0.258908923074973	0.253930007580791	0.301980418150428	0.174340080983224	0.256605982791422	0.425963982492113	0.262257621547943	0.473652025700094	0.312809606002455	0.373492170464343	0.262505126241747	0.354486537799025	0.360533620682317	0.316763347523102	0.315153666822326	0.204691509986751	0.210706936413142	0.266670063322542	0.308662224653906	0.30057473457388	0.318011303963865	0.210160512697416	0.256525240882331	0.166792922593802	0.189188848293183	0.178143197909051	0.149306949971318	0.174461829650356	0.140961614927955	0.244302023146291	0.171282356590448	0.148494696730709	0.245867466008311	0.156512804300945	0.207669216770755	0.186322539084002	0.153600295437087	0.143531104253084	0.173529670641571	0.159272174628903	0.212275730083518	0.248685980154711	0.153109641772009	0.274256398157607	0.170831601263217	0.276377580276724	0.251564450861753	0.168087461753049	0.245252752419825	0.233545384574978	0.158491294861768	0.243083010423287	0.296576195910632	0.45484128749495	0.307598135037749	0.3082938476477	0.34368109888062	0.333902907742289	0.199955686874768	0.217913711937399	0.308617509473423	0.444239759173868	0.58929571595912	0.203517822147334	0.218074407987708	0.21710396195159	0.364314080648646	0.262673017883542	0.373658072935273	0.2687733231592	0.147792750042089
control_banana6	0.184209347840172	0.417843675348626	0.272806744022432	0.171408039420165	0.416018125883222	0.115745368381623	6.66133814775094e-16	0.360134311128224	0.474688521302886	0.400041499730934	0.308933939722633	0.428274448082987	0.14704083740427	0.249989520400723	0.416411810019421	0.388336746742026	0.357979091480253	0.378274587198685	0.272859725917037	0.279179673726168	0.453125619771562	0.437141205936576	0.353116114553386	0.336892196308065	0.288355882926463	0.197465162331624	0.353154313563744	0.409876728930256	0.354240005062536	0.382453405079995	0.21412758088707	0.192502815974741	0.146375504613862	0.219278001742929	0.126402367547546	0.207132614211985	0.176616387859207	0.182637274084894	0.222617206683217	0.243423520424728	0.236497499315781	0.27673040340488	0.269857721361381	0.302331061927307	0.277204519937558	0.257788017360364	0.238447033319148	0.261859290074761	0.219881048846042	0.210944489615826	0.264372041917302	0.172630253038733	0.25549303198863	0.191706189234854	0.257889483744213	0.220262376513293	0.178459980543452	0.250067712489818	0.230171003607468	0.15961763895457	0.254526345439492	0.292354849104183	0.413190059731912	0.390477458336836	0.330409633845106	0.306741019835082	0.286803528240304	0.212037837836987	0.229085916986607	0.270162195163396	0.345019890873523	0.475174759955929	0.223800955619023	0.316812683405235	0.249586032330997	0.364279816914729	0.253428427148718	0.308653098721879	0.290659844332504	0.158513083864575
control_banana7	0.379131031465297	0.0624558372714126	0.0885275646648042	0.158414100262797	0.201432217108073	0.261658938954741	0.360134311128224	6.66133814775094e-16	0.215218110019121	0.555174594637969	0.153742277031415	0.4866214571829	0.433090035715685	0.145816079982489	0.385386646602699	0.552075668189889	0.44052095587902	0.486732336042359	0.282768668841383	0.174693886326592	0.379451552766067	0.256348154153385	0.314982602120778	0.294803185292326	0.33964341697243	0.261877115591994	0.229068682679327	0.279025005833485	0.327213427452032	0.294925354942294	0.303421624875816	0.253438429825914	0.299677906278752	0.254439917121152	0.300322457746714	0.346295029895577	0.318958693668167	0.305141660948637	0.282914459640498	0.189317650140577	0.140732721708555	0.209243727423473	0.380022862854498	0.2866316158626	0.31205251454715	0.299496933770454	0.227968375536124	0.237135660556145	0.381439992414511	0.118493707810434	0.198988568461384	0.301303526711853	0.302867213331097	0.219529197490668	0.265691184383144	0.26244464910253	0.220390268665452	0.223725399738434	0.261154332001902	0.240641053814565	0.302828634634569	0.2660180760444	0.311581230789727	0.397329237429816	0.382519382306305	0.299153627234935	0.364810036606932	0.229582184885762	0.299800278388803	0.344593921778551	0.523428754949064	0.660095470692662	0.248321202359669	0.239985572781673	0.308507646655636	0.318961203469185	0.372871179267703	0.426448257693863	0.387929355285522	0.257949800848043
control_banana8	0.548718631705342	0.274066819195865	0.368011600055702	0.371136309353643	0.430882304279266	0.434145927982524	0.474688521302886	0.215218110019121	0	0.487361183814492	0.183779310568755	0.422181170209745	0.361665845758069	0.199958371722419	0.333280676667943	0.469232067181325	0.255701652462517	0.408058700735639	0.174585335638195	0.169239668922092	0.333569225144499	0.198830062781627	0.37881389137994	0.290578892550926	0.344313005009821	0.273155428147538	0.256279501939216	0.238012974217605	0.281503194579344	0.230437959257012	0.306922683242957	0.246627128673121	0.46726686786056	0.285331547395178	0.345386962832098	0.39330228804745	0.282918405793226	0.290989561095061	0.291448786944125	0.31141078130828	0.224858844236404	0.171941993723433	0.350165298040359	0.204272485642651	0.312698390768815	0.277443180772768	0.240341148951849	0.239078543245545	0.294655496551328	0.172655221379949	0.137478599070262	0.296609965408021	0.195766586129185	0.269900214111977	0.214185816487579	0.289112742425219	0.207655783904327	0.193973179326249	0.260729314095871	0.239827728254534	0.191149623568673	0.199845637276655	0.358711557956762	0.228999247883275	0.241777120840666	0.162456700755869	0.213709260989933	0.220947507207783	0.21971801983234	0.17613488523998	0.349941067820788	0.396136650898469	0.262172269434238	0.37823282868683	0.220532442582463	0.271361776965236	0.274082963292061	0.268790106901273	0.23652693889453	0.273742946442448
control_banana9	0.241447133452793	0.690096744016756	0.56825021847007	0.540028904263161	0.391348644071633	0.258908923074973	0.400041499730934	0.555174594637969	0.487361183814492	0	0.380418706481301	0.102760545726571	0.244242567750015	0.40805882665989	0.48696510452483	0.0879100166586585	0.445979388781864	0.166289329205346	0.411635570790748	0.38404082601662	0.255436709807308	0.335081167766664	0.438232164724652	0.349615297042564	0.22998740478464	0.323787216954714	0.28410065591349	0.255164683850326	0.267155784768894	0.290260321293186	0.303294941855723	0.424055650237244	0.430407029979667	0.290899644001724	0.353053910423661	0.247228905446756	0.243703746201536	0.214648124840885	0.350547980268753	0.390125106371966	0.247676975955454	0.287646655966976	0.122882633566199	0.148530849673579	0.173890263368184	0.153156791901944	0.173018302216666	0.197598037993463	0.141308021568994	0.401147107563982	0.312920903349479	0.221976586211422	0.306924720481636	0.286557276382414	0.351822372387077	0.454575581141429	0.278182162263469	0.382304715736729	0.369246923295449	0.272529025528215	0.229041637754511	0.337237108145209	0.618132377420193	0.178938803359146	0.259650968673147	0.362021329843425	0.328896713225044	0.238679343988541	0.222275938097799	0.27432771148457	0.477890859741348	0.566505964147273	0.311240722939267	0.344616155229572	0.228387737732609	0.436222674264148	0.268896453495706	0.397934796503642	0.216740257777942	0.249140201103944
