roi,corr_type,mean_r,sd_r,p,sig
Primary_Visual,full,0.1408,0.1246,0.0001,***
Primary_Visual,semipartial,0.072,0.1442,0.0409,*
Early_Visual,full,0.2648,0.1485,0.0,***
Early_Visual,semipartial,0.0762,0.1498,0.0384,*
Dorsal_Stream_Visual,full,0.1742,0.1368,0.0,***
Dorsal_Stream_Visual,semipartial,0.0004,0.1485,0.9904,ns
Ventral_Stream_Visual,full,0.3988,0.1156,0.0,***
Ventral_Stream_Visual,semipartial,0.0972,0.1093,0.001,**
MT__Complex_and_Neighboring_Visual_Areas,full,0.3094,0.0866,0.0,***
MT__Complex_and_Neighboring_Visual_Areas,semipartial,-0.0033,0.0956,0.8795,ns
Somatosensory_and_Motor,full,0.4244,0.0869,0.0,***
Somatosensory_and_Motor,semipartial,-0.0143,0.1441,0.6674,ns
Paracentral_Lobular_and_Mid_Cingulate,full,0.3157,0.0997,0.0,***
Paracentral_Lobular_and_Mid_Cingulate,semipartial,-0.0068,0.1141,0.7953,ns
Premotor,full,0.388,0.1042,0.0,***
Premotor,semipartial,-0.0146,0.1537,0.6806,ns
Posterior_Opercular,full,0.2458,0.1128,0.0,***
Posterior_Opercular,semipartial,-0.0383,0.1061,0.1256,ns
Early_Auditory,full,0.1561,0.1121,0.0,***
Early_Auditory,semipartial,-0.0335,0.1446,0.319,ns
Auditory_Association,full,0.0926,0.1154,0.0022,**
Auditory_Association,semipartial,-0.0031,0.1282,0.9151,ns
Insular_and_Frontal_Opercular,full,0.1272,0.1156,0.0001,***
Insular_and_Frontal_Opercular,semipartial,-0.0009,0.1585,0.9817,ns
Medial_Temporal,full,0.2054,0.099,0.0,***
Medial_Temporal,semipartial,0.0892,0.1487,0.0174,*
Lateral_Temporal,full,0.1001,0.1188,0.0018,**
Lateral_Temporal,semipartial,-0.0318,0.162,0.4024,ns
Temporo_Parieto_Occipital_Junction,full,0.1254,0.1164,0.0001,***
Temporo_Parieto_Occipital_Junction,semipartial,-0.0406,0.1098,0.1175,ns
Superior_Parietal,full,0.3264,0.1002,0.0,***
Superior_Parietal,semipartial,0.0181,0.1178,0.5043,ns
Inferior_Parietal,full,0.2622,0.1124,0.0,***
Inferior_Parietal,semipartial,-0.0024,0.1417,0.9409,ns
Posterior_Cingulate,full,0.211,0.1146,0.0,***
Posterior_Cingulate,semipartial,0.0723,0.1498,0.0472,*
Anterior_Cingulate_and_Medial_Prefrontal,full,0.0842,0.1354,0.0134,*
Anterior_Cingulate_and_Medial_Prefrontal,semipartial,-0.0039,0.127,0.8928,ns
Orbital_and_Polar_Frontal,full,0.051,0.1415,0.1278,ns
Orbital_and_Polar_Frontal,semipartial,-0.0114,0.1494,0.7401,ns
Inferior_Frontal,full,0.123,0.1556,0.0027,**
Inferior_Frontal,semipartial,-0.0105,0.1536,0.7693,ns
Dorsolateral_Prefrontal,full,0.1188,0.1305,0.0008,***
Dorsolateral_Prefrontal,semipartial,-0.0294,0.1105,0.2538,ns
