roi,subject,model,corr_type,r
Primary_Visual,sub-01,Animacy,full,0.08046114858943877
Primary_Visual,sub-02,Animacy,full,0.030562021196956904
Primary_Visual,sub-03,Animacy,full,0.025064256060303942
Primary_Visual,sub-04,Animacy,full,-0.041173848588603366
Primary_Visual,sub-05,Animacy,full,0.13088777416076247
Primary_Visual,sub-06,Animacy,full,0.009320088907260314
Primary_Visual,sub-07,Animacy,full,0.020530225764066906
Primary_Visual,sub-08,Animacy,full,0.0033387831674857194
Primary_Visual,sub-09,Animacy,full,0.05611596117531706
Primary_Visual,sub-10,Animacy,full,-0.013561125729745502
Primary_Visual,sub-11,Animacy,full,-0.012556620119329275
Primary_Visual,sub-12,Animacy,full,0.04647997222143985
Primary_Visual,sub-13,Animacy,full,0.038600208985024496
Primary_Visual,sub-14,Animacy,full,0.02729204495856545
Primary_Visual,sub-15,Animacy,full,-0.00032819076342628645
Primary_Visual,sub-16,Animacy,full,0.003521500045040715
Primary_Visual,sub-17,Animacy,full,-0.015289807994641339
Primary_Visual,sub-18,Animacy,full,0.03224638654481428
Primary_Visual,sub-19,Animacy,full,-0.06361038224632365
Primary_Visual,sub-20,Animacy,full,0.0021971228565630862
Primary_Visual,sub-01,Animacy,semipartial,0.07905549909337972
Primary_Visual,sub-02,Animacy,semipartial,0.0032635870489531047
Primary_Visual,sub-03,Animacy,semipartial,0.03297770953151085
Primary_Visual,sub-04,Animacy,semipartial,-0.05515026674528741
Primary_Visual,sub-05,Animacy,semipartial,0.13834994345295465
Primary_Visual,sub-06,Animacy,semipartial,-0.0024532234601800313
Primary_Visual,sub-07,Animacy,semipartial,0.009948850216223614
Primary_Visual,sub-08,Animacy,semipartial,-0.01706376819544426
Primary_Visual,sub-09,Animacy,semipartial,0.029295206291095572
Primary_Visual,sub-10,Animacy,semipartial,-0.023630190250139554
Primary_Visual,sub-11,Animacy,semipartial,-0.005863652560445325
Primary_Visual,sub-12,Animacy,semipartial,0.04371716956880902
Primary_Visual,sub-13,Animacy,semipartial,0.033580684734449834
Primary_Visual,sub-14,Animacy,semipartial,0.007058403458247057
Primary_Visual,sub-15,Animacy,semipartial,-0.014966667086480187
Primary_Visual,sub-16,Animacy,semipartial,-0.009387855151164269
Primary_Visual,sub-17,Animacy,semipartial,-0.040641340071372385
Primary_Visual,sub-18,Animacy,semipartial,0.03726462543502399
Primary_Visual,sub-19,Animacy,semipartial,-0.0896778402141393
Primary_Visual,sub-20,Animacy,semipartial,-0.0080578609154209
Primary_Visual,sub-01,Category,full,0.01717843794876145
Primary_Visual,sub-02,Category,full,0.0862611070471067
Primary_Visual,sub-03,Category,full,-0.019270421938178777
Primary_Visual,sub-04,Category,full,0.034549527501664366
Primary_Visual,sub-05,Category,full,0.0011109584617131508
Primary_Visual,sub-06,Category,full,0.03632367602542008
Primary_Visual,sub-07,Category,full,0.03513449637246562
Primary_Visual,sub-08,Category,full,0.059308723072674464
Primary_Visual,sub-09,Category,full,0.08958599839266695
Primary_Visual,sub-10,Category,full,0.02743754726203474
Primary_Visual,sub-11,Category,full,-0.019560539772173695
Primary_Visual,sub-12,Category,full,0.017651516930170384
Primary_Visual,sub-13,Category,full,0.02232732668253896
Primary_Visual,sub-14,Category,full,0.0641660091876691
Primary_Visual,sub-15,Category,full,0.04496235977213072
Primary_Visual,sub-16,Category,full,0.03991099090644571
Primary_Visual,sub-17,Category,full,0.07203576077934894
Primary_Visual,sub-18,Category,full,-0.009043210024017447
Primary_Visual,sub-19,Category,full,0.06643363625158381
Primary_Visual,sub-20,Category,full,0.030579981934335337
Primary_Visual,sub-01,Category,semipartial,-0.010467133785918256
Primary_Visual,sub-02,Category,semipartial,0.08547708469279622
Primary_Visual,sub-03,Category,semipartial,-0.03020779815845208
Primary_Visual,sub-04,Category,semipartial,0.0528262698312334
Primary_Visual,sub-05,Category,semipartial,-0.04135962111842863
Primary_Visual,sub-06,Category,semipartial,0.036637251812147394
Primary_Visual,sub-07,Category,semipartial,0.03260115473050367
Primary_Visual,sub-08,Category,semipartial,0.06004470593471023
Primary_Visual,sub-09,Category,semipartial,0.08138721709947724
Primary_Visual,sub-10,Category,semipartial,0.03482594615116953
Primary_Visual,sub-11,Category,semipartial,-0.011018823201953975
Primary_Visual,sub-12,Category,semipartial,0.007627920073326157
Primary_Visual,sub-13,Category,semipartial,0.013761554242623835
Primary_Visual,sub-14,Category,semipartial,0.060540224978948745
Primary_Visual,sub-15,Category,semipartial,0.05423168862859609
Primary_Visual,sub-16,Category,semipartial,0.04577973080852446
Primary_Visual,sub-17,Category,semipartial,0.08379562873588231
Primary_Visual,sub-18,Category,semipartial,-0.02023374955993759
Primary_Visual,sub-19,Category,semipartial,0.09554423196978624
Primary_Visual,sub-20,Category,semipartial,0.03264271684433825
Primary_Visual,sub-01,Gist,full,-0.03003495091696379
Primary_Visual,sub-02,Gist,full,0.1426995844422731
Primary_Visual,sub-03,Gist,full,-0.036489172341177885
Primary_Visual,sub-04,Gist,full,0.06423001734207145
Primary_Visual,sub-05,Gist,full,0.0741895615696644
Primary_Visual,sub-06,Gist,full,0.04262936670846642
Primary_Visual,sub-07,Gist,full,0.07520532794688498
Primary_Visual,sub-08,Gist,full,-0.047340729105854996
Primary_Visual,sub-09,Gist,full,0.17829242349905453
Primary_Visual,sub-10,Gist,full,0.0343650802374666
