subject,model,corr_type,r
sub-01,Animacy,full,0.18976634946179527
sub-01,Animacy,semipartial,-0.047986715573573355
sub-01,Category,full,0.6898356830749485
sub-01,Category,semipartial,0.6557784539753803
sub-01,Gist,full,0.11686358281817474
sub-01,Gist,semipartial,0.012261010314691876
sub-02,Animacy,full,0.2973999239305918
sub-02,Animacy,semipartial,0.10725303117063184
sub-02,Category,full,0.5793078592523336
sub-02,Category,semipartial,0.4958795068122522
sub-02,Gist,full,0.1306087070513572
sub-02,Gist,semipartial,0.04622144221679932
sub-03,Animacy,full,0.3130753643100083
sub-03,Animacy,semipartial,0.12108693398944458
sub-03,Category,full,0.5810834258926488
sub-03,Category,semipartial,0.5076816556672834
sub-03,Gist,full,0.02702392006350296
sub-03,Gist,semipartial,-0.058512475814968566
sub-04,Animacy,full,0.17523032158082422
sub-04,Animacy,semipartial,-0.04272167286382519
sub-04,Category,full,0.6252871707350132
sub-04,Category,semipartial,0.612060868159336
sub-04,Gist,full,-0.019252939501008034
sub-04,Gist,semipartial,-0.11546392499839524
sub-05,Animacy,full,0.4669213872508022
sub-05,Animacy,semipartial,0.2935252014959744
sub-05,Category,full,0.5628618956689497
sub-05,Category,semipartial,0.41758049823564514
sub-05,Gist,full,0.12573820075695583
sub-05,Gist,semipartial,0.04769709501500708
sub-06,Animacy,full,0.3754270244933833
sub-06,Animacy,semipartial,0.1640060327539126
sub-06,Category,full,0.651399574988182
sub-06,Category,semipartial,0.5444039484913619
sub-06,Gist,full,0.13583460888590665
sub-06,Gist,semipartial,0.04173014799868596
sub-07,Animacy,full,0.17063807095135178
sub-07,Animacy,semipartial,-0.046019401043874274
sub-07,Category,full,0.6279667697412917
sub-07,Category,semipartial,0.5983855151201487
sub-07,Gist,full,0.10200048904086248
sub-07,Gist,semipartial,0.006680992234694801
sub-08,Animacy,full,0.5796821351270047
sub-08,Animacy,semipartial,0.36334826387553515
sub-08,Category,full,0.6987138622342486
sub-08,Category,semipartial,0.5260835446027459
sub-08,Gist,full,0.104577618947627
sub-08,Gist,semipartial,0.007098010114399919
sub-09,Animacy,full,0.01759180496931013
