roi,hemisphere,mean_r,sd_r,t,p,sig,noise_ceiling_mean
Primary_Visual,L,0.0051,0.0692,0.3301,0.7449,,0.1051
Primary_Visual,R,0.0014,0.0527,0.1221,0.9041,,0.0791
Early_Visual,L,-0.0117,0.0863,-0.6026,0.5539,,0.1264
Early_Visual,R,0.0039,0.0748,0.2327,0.8185,,0.1505
Dorsal_Stream_Visual,L,-0.005,0.0861,-0.2575,0.7996,,0.0388
Dorsal_Stream_Visual,R,0.0294,0.0953,1.3697,0.1867,,0.0857
Ventral_Stream_Visual,L,0.0105,0.0524,0.8928,0.3832,,0.2224
Ventral_Stream_Visual,R,0.0346,0.0794,1.9357,0.0679,,0.2513
MT__Complex_and_Neighboring_Visual_Areas,L,0.0276,0.0736,1.6659,0.1121,,0.2456
MT__Complex_and_Neighboring_Visual_Areas,R,0.054,0.0758,3.1535,0.0052,**,0.299
Somatosensory_and_Motor,L,0.0429,0.0543,3.5203,0.0023,**,0.2328
Somatosensory_and_Motor,R,0.044,0.0589,3.3252,0.0036,**,0.2652
Paracentral_Lobular_and_Mid_Cingulate,L,0.0283,0.0558,2.2669,0.0353,*,0.0914
Paracentral_Lobular_and_Mid_Cingulate,R,0.0253,0.0669,1.6805,0.1092,,0.1241
Premotor,L,0.0368,0.0662,2.4616,0.0236,*,0.1268
Premotor,R,0.045,0.0602,3.3129,0.0037,**,0.1633
Posterior_Opercular,L,0.0226,0.0756,1.3306,0.1991,,0.0477
Posterior_Opercular,R,0.0204,0.0651,1.3978,0.1783,,0.032
Early_Auditory,L,0.0022,0.0585,0.1665,0.8695,,-0.0052
Early_Auditory,R,0.0182,0.0543,1.4933,0.1518,,0.0009
Auditory_Association,L,-0.0251,0.0693,-1.6144,0.1229,,0.0083
Auditory_Association,R,0.0006,0.0683,0.0399,0.9686,,0.0077
Insular_and_Frontal_Opercular,L,0.0285,0.1084,1.1604,0.2602,,0.0619
Insular_and_Frontal_Opercular,R,0.0215,0.0784,1.2179,0.2382,,0.033
Medial_Temporal,L,0.0091,0.0627,0.6472,0.5253,,0.0445
Medial_Temporal,R,0.0111,0.0583,0.8511,0.4053,,0.0505
Lateral_Temporal,L,0.0432,0.0808,2.3725,0.0284,*,0.0808
Lateral_Temporal,R,0.0268,0.0755,1.5791,0.1308,,0.0435
Temporo_Parieto_Occipital_Junction,L,0.0283,0.0639,1.9748,0.063,,0.0442
Temporo_Parieto_Occipital_Junction,R,0.0268,0.0902,1.3172,0.2034,,0.0752
Superior_Parietal,L,0.0175,0.0798,0.9748,0.3419,,0.0968
Superior_Parietal,R,0.0295,0.085,1.5433,0.1392,,0.0737
Inferior_Parietal,L,0.0434,0.0837,2.302,0.0328,*,0.1154
Inferior_Parietal,R,0.0325,0.0691,2.0921,0.0501,,0.111
Posterior_Cingulate,L,-0.0046,0.0921,-0.2215,0.8271,,0.0277
Posterior_Cingulate,R,0.0203,0.0757,1.195,0.2468,,0.0464
Anterior_Cingulate_and_Medial_Prefrontal,L,0.0195,0.065,1.3339,0.198,,0.051
Anterior_Cingulate_and_Medial_Prefrontal,R,0.004,0.0878,0.2006,0.8432,,0.0685
Orbital_and_Polar_Frontal,L,0.0267,0.0685,1.7344,0.099,,0.0146
Orbital_and_Polar_Frontal,R,0.0011,0.0599,0.0812,0.9362,,0.0155
Inferior_Frontal,L,0.0626,0.0921,3.0097,0.0072,**,0.1113
Inferior_Frontal,R,0.0597,0.1065,2.4869,0.0223,*,0.0791
Dorsolateral_Prefrontal,L,0.0481,0.0852,2.4996,0.0218,*,0.1244
Dorsolateral_Prefrontal,R,0.0605,0.0968,2.7498,0.0127,*,0.0886
