roi,model,corr_type,n,mean_r,sd_r,p,sig
Primary_Visual,Animacy,full,20,0.0181,0.0424,0.0728,ns
Primary_Visual,Animacy,semipartial,20,0.0074,0.0486,0.5042,ns
Primary_Visual,Category,full,20,0.0349,0.032,0.0001,***
Primary_Visual,Category,semipartial,20,0.0333,0.0406,0.0017,**
Primary_Visual,Gist,full,20,0.0771,0.0715,0.0001,***
Primary_Visual,Gist,semipartial,20,0.0784,0.0719,0.0001,***
Early_Visual,Animacy,full,20,0.0385,0.0493,0.0025,**
Early_Visual,Animacy,semipartial,20,0.0153,0.0537,0.2182,ns
Early_Visual,Category,full,20,0.0751,0.045,0.0,***
Early_Visual,Category,semipartial,20,0.0693,0.0507,0.0,***
Early_Visual,Gist,full,20,0.0946,0.0794,0.0,***
Early_Visual,Gist,semipartial,20,0.0974,0.0796,0.0,***
Dorsal_Stream_Visual,Animacy,full,20,0.043,0.0517,0.0015,**
Dorsal_Stream_Visual,Animacy,semipartial,20,0.027,0.0562,0.0461,*
Dorsal_Stream_Visual,Category,full,20,0.0539,0.0394,0.0,***
Dorsal_Stream_Visual,Category,semipartial,20,0.0423,0.0453,0.0005,***
Dorsal_Stream_Visual,Gist,full,20,0.0015,0.0639,0.9183,ns
Dorsal_Stream_Visual,Gist,semipartial,20,0.0036,0.0642,0.8072,ns
Ventral_Stream_Visual,Animacy,full,20,0.2258,0.0674,0.0,***
Ventral_Stream_Visual,Animacy,semipartial,20,0.1926,0.066,0.0,***
Ventral_Stream_Visual,Category,full,20,0.1349,0.0412,0.0,***
Ventral_Stream_Visual,Category,semipartial,20,0.0673,0.0388,0.0,***
Ventral_Stream_Visual,Gist,full,20,0.06,0.0449,0.0,***
Ventral_Stream_Visual,Gist,semipartial,20,0.0657,0.0451,0.0,***
MT__Complex_and_Neighboring_Visual_Areas,Animacy,full,20,0.2407,0.0767,0.0,***
MT__Complex_and_Neighboring_Visual_Areas,Animacy,semipartial,20,0.2148,0.0747,0.0,***
MT__Complex_and_Neighboring_Visual_Areas,Category,full,20,0.1153,0.0327,0.0,***
MT__Complex_and_Neighboring_Visual_Areas,Category,semipartial,20,0.0406,0.0275,0.0,***
MT__Complex_and_Neighboring_Visual_Areas,Gist,full,20,0.0282,0.058,0.0429,*
MT__Complex_and_Neighboring_Visual_Areas,Gist,semipartial,20,0.0334,0.0579,0.0189,*
Somatosensory_and_Motor,Animacy,full,20,0.0517,0.0405,0.0,***
Somatosensory_and_Motor,Animacy,semipartial,20,-0.0394,0.0359,0.0001,***
Somatosensory_and_Motor,Category,full,20,0.2744,0.055,0.0,***
Somatosensory_and_Motor,Category,semipartial,20,0.2734,0.0517,0.0,***
Somatosensory_and_Motor,Gist,full,20,0.0287,0.0475,0.0143,*
Somatosensory_and_Motor,Gist,semipartial,20,0.0385,0.0476,0.0019,**
Paracentral_Lobular_and_Mid_Cingulate,Animacy,full,20,0.0347,0.0581,0.0155,*
Paracentral_Lobular_and_Mid_Cingulate,Animacy,semipartial,20,-0.0088,0.0567,0.4994,ns
Paracentral_Lobular_and_Mid_Cingulate,Category,full,20,0.1324,0.0558,0.0,***
Paracentral_Lobular_and_Mid_Cingulate,Category,semipartial,20,0.1284,0.0539,0.0,***
Paracentral_Lobular_and_Mid_Cingulate,Gist,full,20,0.0072,0.0492,0.5194,ns
Paracentral_Lobular_and_Mid_Cingulate,Gist,semipartial,20,0.012,0.0491,0.2883,ns
Premotor,Animacy,full,20,0.0478,0.0466,0.0002,***
Premotor,Animacy,semipartial,20,-0.0159,0.0476,0.1521,ns
Premotor,Category,full,20,0.1939,0.0699,0.0,***
Premotor,Category,semipartial,20,0.1895,0.0706,0.0,***
Premotor,Gist,full,20,0.023,0.0696,0.1571,ns
Premotor,Gist,semipartial,20,0.03,0.0699,0.0711,ns
Posterior_Opercular,Animacy,full,20,0.0123,0.0386,0.169,ns
Posterior_Opercular,Animacy,semipartial,20,-0.0196,0.0332,0.0165,*
Posterior_Opercular,Category,full,20,0.095,0.0521,0.0,***
Posterior_Opercular,Category,semipartial,20,0.0962,0.0494,0.0,***
Posterior_Opercular,Gist,full,20,-0.0016,0.057,0.9012,ns
Posterior_Opercular,Gist,semipartial,20,0.0018,0.0582,0.8942,ns
Early_Auditory,Animacy,full,20,0.0027,0.0467,0.8003,ns
Early_Auditory,Animacy,semipartial,20,-0.0157,0.0446,0.1331,ns
